file	gate_class	axis	ci_status	sites
test-optimizer-tolerance.R	suggests-package	environment	runs	1
test-parity-fenced-boundaries.R	build-premise	build	skips	2
test-parity-matrix.R	build-premise	build	skips	2
test-parity-matrix.R	engine-drm-jl	environment	skips	2
test-parity-matrix.R	runtime-conditional	runtime	depends	1
test-phase18-actions-runner.R	build-premise	build	skips	3
test-phase18-actions-runner.R	runtime-conditional	runtime	depends	1
test-phase18-animal-relmat-q2-grid-writer.R	cran-lane	environment	runs	1
test-phase18-animal-relmat-q4-grid-writer.R	cran-lane	environment	runs	1
test-phase18-animal-relmat-q4-smoke.R	cran-lane	environment	runs	2
test-phase18-biv-rho12-runner.R	os	environment	runs	1
test-phase18-count-gallery-render-helper.R	external-tool	environment	runs	1
test-phase18-count-gallery-render-helper.R	suggests-package	environment	runs	1
test-phase18-count-gallery-smoke-runner.R	external-tool	environment	runs	1
test-phase18-count-gallery-smoke-runner.R	suggests-package	environment	runs	1
test-phase18-count-gallery-template.R	external-tool	environment	runs	2
test-phase18-count-gallery-template.R	suggests-package	environment	runs	2
test-phase18-count-structured-q1.R	suggests-package	environment	runs	2
test-phase18-first-wave-status-report.R	external-tool	environment	runs	3
test-phase18-first-wave-status-report.R	suggests-package	environment	runs	3
test-phase18-first-wave-summary-render-helper.R	external-tool	environment	runs	1
test-phase18-first-wave-summary-render-helper.R	suggests-package	environment	runs	1
test-phase18-first-wave-summary-report.R	external-tool	environment	runs	2
test-phase18-first-wave-summary-report.R	suggests-package	environment	runs	2
test-phase18-gaussian-ls-power-runner.R	cran-lane	environment	runs	1
test-phase18-poisson-phylo-q1.R	cran-lane	environment	runs	1
test-phase18-power-grid-engine.R	cran-lane	environment	runs	2
test-phase18-power.R	cran-lane	environment	runs	1
test-phase18-report-template.R	external-tool	environment	runs	1
test-phase18-report-template.R	suggests-package	environment	runs	1
test-phase18-skew-normal-fixed-effect.R	os	environment	runs	1
test-phase18-spatial-q2-grid-writer.R	cran-lane	environment	runs	1
test-phase18-student-shape-runner.R	os	environment	runs	1
test-phase18-task-seed-registry.R	build-premise	build	skips	2
test-phylo-gaussian.R	cran-lane	environment	runs	2
test-phylo-interaction.R	cran-lane	environment	runs	4
test-phylo-penalized-map.R	cran-lane	environment	runs	3
test-phylo-penalty-sweep.R	cran-lane	environment	runs	3
test-phylo-penalty-sweep.R	suggests-package	environment	runs	4
test-pkgdown-reference-index.R	build-premise	build	skips	1
test-pkgdown-reference-index.R	runtime-conditional	runtime	depends	1
test-plot-corpairs.R	suggests-package	environment	runs	6
test-plot-parameter-surface.R	suggests-package	environment	runs	8
test-poisson-ordinary-correlated-q2.R	suggests-package	environment	runs	1
test-positive-continuous-structured-mu.R	build-premise	build	skips	1
test-positive-continuous-structured-mu.R	suggests-package	environment	runs	4
test-profile-plots.R	suggests-package	environment	runs	3
test-profile-shape-boundary.R	build-premise	build	skips	1
test-profile-shape-boundary.R	suggests-package	environment	runs	2
test-profile-targets-julia.R	engine-drm-jl	environment	skips	2
test-profile-targets-julia.R	suggests-package	environment	runs	4
test-profile-targets.R	cran-lane	environment	runs	1
test-profile-targets.R	os	environment	runs	4
test-profile-targets.R	suggests-package	environment	runs	1
test-provenance.R	build-premise	build	skips	2
test-provenance.R	external-tool	environment	runs	2
test-reader-journeys.R	build-premise	build	skips	2
test-reader-journeys.R	suggests-package	environment	runs	1
test-reader-vignette-contracts.R	build-premise	build	skips	1
test-release-identity.R	build-premise	build	skips	2
test-reml-bias-simulation.R	cran-lane	environment	runs	1
test-reml-binomial-coxreid.R	suggests-package	environment	runs	3
test-reml-biv-animal.R	engine-drm-jl	environment	skips	1
test-reml-biv-animal.R	suggests-package	environment	runs	1
test-reml-bivariate-relmat-q2.R	cran-lane	environment	runs	2
test-reml-bivariate-spatial-q2.R	cran-lane	environment	runs	2
test-reml-bivariate.R	cran-lane	environment	runs	7
test-reml-bivariate.R	suggests-package	environment	runs	2
test-reml-direct-sd-phylo.R	cran-lane	environment	runs	2
test-reml-heteroscedastic.R	cran-lane	environment	runs	3
test-reml-ordinary-sigma.R	cran-lane	environment	runs	6
test-reml-penalty-guard.R	suggests-package	environment	runs	1
test-reml-phylo-location.R	cran-lane	environment	runs	4
test-reml-phylo-location.R	env-var-optin	environment	skips	4
test-reml-phylo-location.R	suggests-package	environment	runs	4
test-reml-route-table.R	build-premise	build	skips	3
test-reml-scale-structured.R	cran-lane	environment	runs	3
test-reml-structured-location.R	cran-lane	environment	runs	3
test-reml-structured-location.R	env-var-optin	environment	skips	2
test-scale-phylo-identifiability.R	cran-lane	environment	runs	5
test-scale-phylo-identifiability.R	runtime-conditional	runtime	depends	3
test-scale-phylo-identifiability.R	suggests-package	environment	runs	2
test-shard-selection.R	runtime-conditional	runtime	depends	1
test-simulate-re-form-phylo-interaction.R	cran-lane	environment	runs	1
test-spatial-gaussian.R	cran-lane	environment	runs	1
test-structured-re-ademp-scaffold.R	build-premise	build	skips	1
test-structured-re-conversion-contracts.R	build-premise	build	skips	2
test-structured-re-conversion-contracts.R	external-tool	environment	runs	4
test-tweedie-location-scale.R	suggests-package	environment	runs	1
test-xfam-bridge.R	engine-drm-jl	environment	skips	8
test-xfam-bridge.R	suggests-package	environment	runs	14
