cell_id	target_id	profile_parameter	true_value	source_kind	source_file	truth_element
mc-0277	mc-0277::sd:sigma:phylo(1 | species)	sd:sigma:phylo(1 | species)	0.7	fixture_builder	tools/arc2-phylo-sigma-fixtures.R	fx$true_log_sd_phylo
mc-0279	mc-0279::sd:sigma:sigma:phylo(1 | species)	sd:sigma:sigma:phylo(1 | species)	0.7	fixture_builder	tools/arc2-phylo-sigma-fixtures.R	fx$true_log_sd_sigma
mc-0283	mc-0283::sd:sigma:sigma:phylo(1 | p | species)	sd:sigma:sigma:phylo(1 | p | species)	0.7	fixture_builder	tools/arc2-phylo-sigma-fixtures.R	fx$true_log_sd_sigma
mc-0286	mc-0286::sd:mu:spatial(1 | site)	sd:mu:spatial(1 | site)	0.5	fixture_builder	tools/arc5-gaussian-q1-one-slope-fixtures.R	fx$true_sd_intercept
mc-0291	mc-0291::sd:mu:mu:spatial(1 | p | site)	sd:mu:mu:spatial(1 | p | site)	0.6	fixture_builder	tools/arc2-spatial-animal-relmat-mu-sigma-q2-fixtures.R	fx$true_sd_mu
mc-0298	mc-0298::sd:mu:animal(1 | id)	sd:mu:animal(1 | id)	0.5	fixture_builder	tools/arc5-gaussian-q1-one-slope-fixtures.R	fx$true_sd_intercept
mc-0303	mc-0303::sd:mu:mu:animal(1 | p | id)	sd:mu:mu:animal(1 | p | id)	0.6	fixture_builder	tools/arc2-spatial-animal-relmat-mu-sigma-q2-fixtures.R	fx$true_sd_mu
mc-0304	mc-0304::sd:sigma:sigma:animal(1 | id)	sd:sigma:sigma:animal(1 | id)	0.7	fixture_builder	tools/arc2-animal-sigma-q2-fixtures.R	fx$true_log_sd_sigma
mc-0315	mc-0315::sd:mu:mu:relmat(1 | p | id)	sd:mu:mu:relmat(1 | p | id)	0.6	fixture_builder	tools/arc2-spatial-animal-relmat-mu-sigma-q2-fixtures.R	fx$true_sd_mu
mc-0316	mc-0316::sd:sigma:sigma:relmat(1 | id)	sd:sigma:sigma:relmat(1 | id)	0.7	fixture_builder	tools/arc2-relmat-sigma-q2-fixtures.R	fx$true_log_sd_sigma
mc-0321	mc-0321::sd:mu:phylo_interaction(1 | plant:pollinator)	sd:mu:phylo_interaction(1 | plant:pollinator)	0.6	fixture_builder	tools/arc3-phylo-interaction-fixtures.R	fx$sd_pair
mc-0409	mc-0409::sd:mu:phylo_interaction(1 | plant:pollinator)	sd:mu:phylo_interaction(1 | plant:pollinator)	0.6	fixture_builder	tools/arc3-phylo-interaction-fixtures.R	fx$sd_pair
mc-0417	mc-0417::sd:mu:spatial(1 | site)	sd:mu:spatial(1 | site)	0.6	fixture_builder	tools/arc4-multiprovider-mu-fixtures.R	fx$truth[["sd_spatial"]]
mc-0421	mc-0421::sd:sigma:phylo(1 | species)	sd:sigma:phylo(1 | species)	0.55	fixture_builder	tools/arc3-nbinom2-sigma-provider-fixtures.R	fx$true_sd_intercept
mc-0422	mc-0422::sd:sigma:spatial(1 | site)	sd:sigma:spatial(1 | site)	0.55	fixture_builder	tools/arc3-nbinom2-sigma-provider-fixtures.R	fx$true_sd_intercept
mc-0423	mc-0423::sd:sigma:animal(1 | id)	sd:sigma:animal(1 | id)	0.55	fixture_builder	tools/arc3-nbinom2-sigma-provider-fixtures.R	fx$true_sd_intercept
mc-0424	mc-0424::sd:sigma:relmat(1 | id)	sd:sigma:relmat(1 | id)	0.55	fixture_builder	tools/arc3-nbinom2-sigma-provider-fixtures.R	fx$true_sd_intercept
